userId,programId,rating,timestamp
4835,76,4.0,1675206000.0
2727,32,4.0,1724108400.0
4512,95,4.5,1734822000.0
1230,84,4.3,1730761200.0
3198,43,4.0,1689721200.0
3988,98,3.9,1701903600.0
933,21,4.1,1686178800.0
1385,20,3.5,1730588400.0
1684,36,4.3,1732316400.0
2203,17,4.1,1706655600.0
1000,27,4.0,1721948400.0
3081,6,4.4,1724886000.0
1659,78,4.1,1675724400.0
3149,85,4.3,1685919600.0
1155,10,3.9,
4230,94,3.9,1688857200.0
3972,65,3.9,1681858800.0
469,32,3.9,1673564400.0
2952,49,4.1,1730070000.0
3402,23,3.8,1723935600.0
3141,79,3.8,1700694000.0
1378,71,4.0,1732230000.0
14,87,4.5,1717974000.0
4252,50,4.3,1680562800.0
30,59,3.6,1687906800.0
1674,91,3.9,1709074800.0
4189,4,4.0,1721862000.0
4142,37,3.8,1691017200.0
3998,18,4.3,1687820400.0
3536,92,4.2,
3414,28,4.4,1692313200.0
596,92,4.1,1717110000.0
450,39,3.7,1734303600.0
1972,6,4.3,
4670,63,3.8,1717801200.0
2142,23,3.6,1675378800.0
539,68,4.3,1713394800.0
1361,77,3.6,1692658800.0
859,16,3.7,1727218800.0
3611,40,3.9,1684105200.0
1741,14,3.6,1682550000.0
3669,97,3.5,1694127600.0
1152,64,4.4,1721257200.0
753,11,4.0,1687215600.0
199,54,3.7,1682809200.0
3122,45,3.6,1707519600.0
733,71,4.4,1723330800.0
2820,29,3.6,1678662000.0
3766,78,4.2,1701126000.0
528,29,3.9,1686265200.0
1598,70,4.2,1731106800.0
3677,5,3.7,1730242800.0
4588,12,4.3,1679094000.0
2272,50,4.1,1734822000.0
1936,52,3.5,1685142000.0
4022,21,3.5,1704754800.0
398,90,4.2,1673132400.0
3555,95,4.3,1733094000.0
2875,30,3.7,1674860400.0
918,52,4.2,1701298800.0
559,5,3.8,1696546800.0
3096,16,4.0,1704582000.0
612,94,4.4,1692054000.0
1029,4,4.1,1677366000.0
4805,20,3.8,1699830000.0
765,82,4.3,1728342000.0
3438,54,3.8,1676934000.0
1822,50,3.7,
2965,62,3.8,1681426800.0
4818,41,4.4,1673478000.0
227,71,3.8,1732834800.0
3090,63,3.9,1699916400.0
3527,67,3.7,1707087600.0
2972,1,4.5,1692399600.0
4732,33,4.3,1705273200.0
2956,66,4.2,1698188400.0
3183,96,3.8,1681167600.0
4113,14,4.3,1674342000.0
1151,28,3.7,1703286000.0
862,77,4.0,1673132400.0
3326,96,3.5,1715554800.0
2860,5,4.0,1723676400.0
1324,50,4.3,1728601200.0
2903,3,3.8,1707087600.0
1307,85,3.6,1718060400.0
2325,26,4.2,1703113200.0
3482,69,4.4,1721862000.0
4089,22,3.5,1695250800.0
4553,63,3.6,1692572400.0
3142,87,3.8,1705791600.0
2420,12,3.8,1735340400.0
3843,15,4.2,1711234800.0
2421,44,3.7,1704668400.0
4756,48,3.9,1677020400.0
408,19,4.1,1710198000.0
4774,45,3.8,1700348400.0
3480,33,3.6,1684796400.0
4862,33,3.7,1675810800.0
4999,4,4.1,1695596400.0
2650,8,4.1,1735254000.0
3528,86,3.8,1689980400.0
3428,1,3.9,1677711600.0
